Question_ID,Questions,Answers,Preprocessed_Questions,Preprocessed_Answers,Sentiment
1585622,Where can I find child and youth mental health services?,"To find help for a child or youth, you can: 
 Encourage your child to talk to a teacher or school counsellor 
 Talk to your family doctor or pediatrician, or go to a walk-in clinic 
 Contact your local Child & Youth Mental Health office on one of their walk-in days 
 Use Kelty Mental Health’s Help Finder Tool to find specific services and providers 
 Contact the Institute of Families for Child and Youth Mental Health’s Youth-in-Residence or Parent-in-Residence for guidance, information, and support. Youth-in-Residence and Parents-in-Residence are located around the province. If you don’t have one in your community, a Parent- or Youth-in-Residence at the Kelty Mental Health Resource Centre can help you by phone or email 
 Visit www.familysmart.ca for information and resources on child and youth mental health 
 For young people ages 12-24, visit foundrybc.ca to see if there is a Foundry Centre in your area. Foundry offers easy-to-access mental health care, physical health care, social services, and support out of one office.",find child youth mental health services,find help child youth encourage child talk teacher school counsellor talk family doctor pediatrician go walk-in clinic contact local child youth mental health office one walk-in days use kelty mental health ’ help finder tool find specific services providers contact institute families child youth mental health ’ youth-in-residence parent-in-residence guidance information support youth-in-residence parents-in-residence located around province ’ one community parent- youth-in-residence kelty mental health resource centre help phone email visit www.familysmart.ca information resources child youth mental health young people ages 12-24 visit foundrybc.ca see foundry centre area foundry offers easy-to-access mental health care physical health care social services support one office,neutral
1833460,Where can older adults find help for mental health concerns?,"Mental health concerns are a serious concern at any age, and everyone deserves help and support. If you’re concerned about your mental health, you can: 
 Talk to your family doctor or go to a walk-in clinic 
 Call the Mental Health Support Line at 310-6789 (no area code) for information about services in your area 
 Find your local mental health centre or program at www.gov.bc.ca/mentalhealth (you may need a doctor’s referral to access some programs) 
 Find your local Canadian Mental Health Association branch at www.cmha.bc.ca and ask for information about local services 
 Contact a local senior’s support organization or group and ask for advice. You can search for organizations at www.bc211.ca 
 For general information about senior’s mental health: 
 Find resources from the Canadian Coalition for Seniors' Mental Health at www.ccsmh.ca 
 Find info sheets in the Seniors and Depression Series at www.heretohelp.bc.ca/factsheet/seniors-and-depression-series 
 If you are concerned about a loved one: 
 Be honest about your concerns, like changes you’ve noticed or problems that have come up 
 Give your loved one a chance to talk about their perspectives. They may have a different take on the problem or have different priorities in their health care 
 Be patient—it will probably take more than one conversation 
 Whenever possible, aim for cooperation. Focus on finding an action or solution that everyone can agree on 
 Remember that asking for help is hard for many of us, and it can be even harder as people’s roles and abilities change. If your loved one isn’t willing to talk about their experiences with you right away, offer alternatives like the BC Mental Health Support Line (310-6789—no area code needed), the Seniors Distress Line (604-872-1234) or a local seniors support organization (search for organizations at www.bc211.ca) 
 Seek support to manage your expectations and your own well-being. It can be very stressful to see a loved one experience health problems. But adults who can care for themselves and aren’t at risk of harm are free to make their own choices—and that includes refusing help",older adults find help mental health concerns,mental health concerns serious concern age everyone deserves help support ’ concerned mental health talk family doctor go walk-in clinic call mental health support line 310-6789 area code information services area find local mental health centre program www.gov.bc.ca/mentalhealth may need doctor ’ referral access programs find local canadian mental health association branch www.cmha.bc.ca ask information local services contact local senior ’ support organization group ask advice search organizations www.bc211.ca general information senior ’ mental health find resources canadian coalition seniors mental health www.ccsmh.ca find info sheets seniors depression series www.heretohelp.bc.ca/factsheet/seniors-and-depression-series concerned loved one honest concerns like changes ’ noticed problems come give loved one chance talk perspectives may different take problem different priorities health care patient—it probably take one conversation whenever possible aim cooperation focus finding action solution everyone agree remember asking help hard many us even harder people ’ roles abilities change loved one ’ willing talk experiences right away offer alternatives like bc mental health support line 310-6789—no area code needed seniors distress line 604-872-1234 local seniors support organization search organizations www.bc211.ca seek support manage expectations well-being stressful see loved one experience health problems adults care ’ risk harm free make choices—and includes refusing help,positive
6981545,Where can I find self-help materials for depression?,"Self-help resources are not a substitute for diagnosis or treatment. If you have concerns about low mood, it’s best to talk to your doctor first and rule out physical causes for your symptoms. However, once you’ve checked in with your doctor, self-help materials can be a great way to learn more about depression and practice different skills at your own pace or in between treatment sessions. Here are some resources to check out. 
 The Antidepressant Skills Workbook was created by two BC psychologists. You’ll learn more about depression, learn and practice different skills to help improve your mood, and learn how healthy changes in other parts of your life can impact your mood. They also have similar workbooks for specific groups: 
 Dealing With Depression: Antidepressant Skills for Teens 
 A workbook for people who experience problems with depression at work called Antidepressant Skills at Work: Dealing with Mood Problems in the Workplace 
 A workbook for expecting or new moms called Managing Depression: A Self-help Skills Resource for Women Living With Depression During Pregnancy, After Delivery and Beyond 
 A workbook for people who experience health problems called Positive Coping with Health Conditions: A Self-Care Workbook 
 On the HeretoHelp site, our Managing Depression series offers three info sheets: Dealing with a Diagnosis of Depression, Working With Your Doctor for Depression, and Preventing Relapse of Depression. The series helps you be an active partner in your health care, build healthy coping skills and self-management strategies, and more. 
 Often depression can affect your concentration and motivation to work through self-help materials on your own. If you’d like self-help materials with a bit of extra support from a person, Bounce Back: Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate depression, low mood, stress, or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of depression, or you can learn more in-depth skills in a series of workbooks you complete at home. You also work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctor’s referral. For more information, visit www.bouncebackbc.ca (If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca). 
 The Mood Disorders Association of BC has a number of videos on mental health, seeking help, and other topics 
 Kelty Mental Health Resource Centre also maintains a comprehensive list of websites, toolkits, books and other resources for young people and families 
 Heads Up Guys offer tips and strategies for healthy living strategies for men who experience depression 
 The BC Reproductive Mental Health Program of BC Mental Health and Substance Use Services has a self-management guide for women who experience postpartum depression called Coping with Depression in Pregnancy and Following the Birth. They also have a guide for Aboriginal women and their families called Celebrating the Circle of Life: coming back to Balance and Harmony 
 The follow resources are based outside of BC, but they offer a lot of good information. 
 MoodGYM Training Program is a web-based self-help course for people who experience depression. It is based in Australia but is available for free to anyone 
 Moodjuice is a UK initiative that offers self-help workbooks, including one for depression 
 There are many books and workbooks available to help people who experience depression. Talk to your mental health care team for recommendations. You can find many from your local bookstore or special bookstores specializing in mental health like Odin Books in Vancouver (you can also order online). Within British Columbia, you may also borrow books for free from the Family Support and Resource Centre at BC Children’s and Women’s Hospitals. They have many self-help and reference materials on depression for women and their partners, for parents, and for children and youth.",find self-help materials depression,self-help resources substitute diagnosis treatment concerns low mood ’ best talk doctor first rule physical causes symptoms however ’ checked doctor self-help materials great way learn depression practice different skills pace treatment sessions resources check antidepressant skills workbook created two bc psychologists ’ learn depression learn practice different skills help improve mood learn healthy changes parts life impact mood also similar workbooks specific groups dealing depression antidepressant skills teens workbook people experience problems depression work called antidepressant skills work dealing mood problems workplace workbook expecting new moms called managing depression self-help skills resource women living depression pregnancy delivery beyond workbook people experience health problems called positive coping health conditions self-care workbook heretohelp site managing depression series offers three info sheets dealing diagnosis depression working doctor depression preventing relapse depression series helps active partner health care build healthy coping skills self-management strategies often depression affect concentration motivation work self-help materials ’ like self-help materials bit extra support person bounce back reclaim health guided self-help program british columbians experience mild moderate depression low mood stress anxiety get dvd tips help recognize manage symptoms depression learn in-depth skills series workbooks complete home also work trained coach canadian mental health association offer support advice telephone video conference bounce back free doctor ’ referral information visit www.bouncebackbc.ca want access bounce back materials without coach referral online bc www.bouncebackonline.ca mood disorders association bc number videos mental health seeking help topics kelty mental health resource centre also maintains comprehensive list websites toolkits books resources young people families heads guys offer tips strategies healthy living strategies men experience depression bc reproductive mental health program bc mental health substance use services self-management guide women experience postpartum depression called coping depression pregnancy following birth also guide aboriginal women families called celebrating circle life coming back balance harmony follow resources based outside bc offer lot good information moodgym training program web-based self-help course people experience depression based australia available free anyone moodjuice uk initiative offers self-help workbooks including one depression many books workbooks available help people experience depression talk mental health care team recommendations find many local bookstore special bookstores specializing mental health like odin books vancouver also order online within british columbia may also borrow books free family support resource centre bc children ’ women ’ hospitals many self-help reference materials depression women partners parents children youth,negative
2115228,Where can I find self-help materials for anxiety?,"Self-help resources are not a substitute for diagnosis or treatment. If you have concerns about low mood, it’s best to talk to your doctor first and rule out physical causes for your symptoms. However, once you’ve checked in with your doctor, self-help materials can be a great way to learn more about anxiety and practice different skills at your own pace or in between treatment sessions. Here are some resources to check out: 
 Anxiety Canada has self-help resources, toolkits, worksheets, and videos on anxiety and anxiety disorders for children and their parents, teens, adults, expecting and new moms at www.anxietycanada.com. Their MindShift app teaches skills to help users manage anxiety, relax, and live well. Although designed for teens and young adults, other adults can also benefit from it. 
 Kelty Mental Health Resource Centre has a list of recommended websites, toolkits, books, and other resources for children and for teens. 
 The BC Reproductive Mental Health Program of BC Mental Health and Substance Use Services has a self-management guide for women who experience anxiety during and after birth called Coping With Anxiety During Pregnancy and Following the Birth. 
 Moodjuice is a UK program that offers self-help and information on a number of mental health concerns, including their anxiety self-help guide. If you’d like help for a specific anxiety disorder, visit www.moodjuice.scot.nhs.uk to search for other guides. 
 There are many books and workbooks available to help people who experience anxiety problems. Talk to your mental health. Talk to your mental health care team for recommendations. There are bookstores that specialize in mental health and well-being materials, such as Odin Books in Vancouver. Within British Columbia, you may also borrow books for free from the Family Support and Resource Centre at BC Children’s and Women’s Hospitals. They have many self-help and reference materials on depression for women and their partners, for parents, and for children and youth. 
 If you’d like self-help materials with a bit of extra support from a person, Bounce Back: Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate low mood or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of anxiety, or you can learn more in-depth skills in a series of workbooks you complete at home. You work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctor’s referral. For more information, visit www.bouncebackbc.ca. If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca.",find self-help materials anxiety,self-help resources substitute diagnosis treatment concerns low mood ’ best talk doctor first rule physical causes symptoms however ’ checked doctor self-help materials great way learn anxiety practice different skills pace treatment sessions resources check anxiety canada self-help resources toolkits worksheets videos anxiety anxiety disorders children parents teens adults expecting new moms www.anxietycanada.com mindshift app teaches skills help users manage anxiety relax live well although designed teens young adults adults also benefit kelty mental health resource centre list recommended websites toolkits books resources children teens bc reproductive mental health program bc mental health substance use services self-management guide women experience anxiety birth called coping anxiety pregnancy following birth moodjuice uk program offers self-help information number mental health concerns including anxiety self-help guide ’ like help specific anxiety disorder visit www.moodjuice.scot.nhs.uk search guides many books workbooks available help people experience anxiety problems talk mental health talk mental health care team recommendations bookstores specialize mental health well-being materials odin books vancouver within british columbia may also borrow books free family support resource centre bc children ’ women ’ hospitals many self-help reference materials depression women partners parents children youth ’ like self-help materials bit extra support person bounce back reclaim health guided self-help program british columbians experience mild moderate low mood anxiety get dvd tips help recognize manage symptoms anxiety learn in-depth skills series workbooks complete home work trained coach canadian mental health association offer support advice telephone video conference bounce back free doctor ’ referral information visit www.bouncebackbc.ca want access bounce back materials without coach referral online bc www.bouncebackonline.ca,negative
2009922,I’m having a hard time coping with a physical health problem. Where can I find help?,"Physical health can have a big impact on mental health! Here are some resources to help you cope with the emotional challenges of living with a chronic health problem: 
 Self-Management BC offers free programs for adults of all ages who are experiencing any ongoing physical or mental health issues. Find information and strategies to help manage symptoms and take action toward the best life possible. Family members, friends, and loved ones are welcome to attend. Programs are available in languages other than English, including Chinese and Punjabi. On their website, you learn more about self-management research and find a workshop or telephone-based support program. Visit www.selfmanagementbc.ca or call toll-free 1-866-902-3767. 
 A group of BC psychologists and doctors have created a self-guided workbook called Positive Coping with Health Conditions for anyone who is dealing with a health problem and anyone who supports a loved one that experiences a health problem. The workbook discusses the links between physical health and mental health, and teaches you different skills to help you manage problems and difficult feelings well, get active, and work on healthy relationships. 
 Bounce Back: Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate depression, low mood or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of depression, or you can learn more in-depth skills in a series of workbook you complete at home. One of the workbooks, Reclaim Your Health, is focused on living with chronic health conditions. You work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctor’s referral. For more information, visit www.bouncebackbc.ca. If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca. 
 Reclaim Your Life: From illness, disability, pain, or fatigue is a booklet from the Canadian Mental Health Association that offers practical tips and strategies to help you cope with a problem and get back to your usual routine. The booklet is available for purchase at www.livinglifetothefull.ca. It is part of a program called Living Life to the Full, an eight-week program that helps people make helpful changes in their lives. It’s offered throughout the province, and you can find course listings on the website as well. 
 Many organizations support people who experience a particular illness or health problem. These organizations can often help people find appropriate support services or may even offer support groups of their own. You can also ask your health care team for recommendations. If you can’t find support in person, you can see if there are any support groups online. 
 If you’re having a hard time coping and feel that you need one-on-one support, a therapist or counsellor can be a great option. You can find more information on finding these professionals at www.heretohelp.bc.ca/ask-us/how-can-i-find-a-doctor-psychiatrist-psychologist-or-counsellor.",’ hard time coping physical health problem find help,physical health big impact mental health resources help cope emotional challenges living chronic health problem self-management bc offers free programs adults ages experiencing ongoing physical mental health issues find information strategies help manage symptoms take action toward best life possible family members friends loved ones welcome attend programs available languages english including chinese punjabi website learn self-management research find workshop telephone-based support program visit www.selfmanagementbc.ca call toll-free 1-866-902-3767. group bc psychologists doctors created self-guided workbook called positive coping health conditions anyone dealing health problem anyone supports loved one experiences health problem workbook discusses links physical health mental health teaches different skills help manage problems difficult feelings well get active work healthy relationships bounce back reclaim health guided self-help program british columbians experience mild moderate depression low mood anxiety get dvd tips help recognize manage symptoms depression learn in-depth skills series workbook complete home one workbooks reclaim health focused living chronic health conditions work trained coach canadian mental health association offer support advice telephone video conference bounce back free doctor ’ referral information visit www.bouncebackbc.ca want access bounce back materials without coach referral online bc www.bouncebackonline.ca reclaim life illness disability pain fatigue booklet canadian mental health association offers practical tips strategies help cope problem get back usual routine booklet available purchase www.livinglifetothefull.ca part program called living life full eight-week program helps people make helpful changes lives ’ offered throughout province find course listings website well many organizations support people experience particular illness health problem organizations often help people find appropriate support services may even offer support groups also ask health care team recommendations ’ find support person see support groups online ’ hard time coping feel need one-on-one support therapist counsellor great option find information finding professionals www.heretohelp.bc.ca/ask-us/how-can-i-find-a-doctor-psychiatrist-psychologist-or-counsellor,negative
6167248,When is substance use a problem? Where can I go for help?,"Each person has a different relationship with substances like alcohol and other drugs, and people use substances for different reasons. What’s beneficial for some may cause problems for others, or for the same person in different situations. 
 To learn more about substance use, check out Understanding Substance Use: A health promotion perspective. For more on supporting someone else, a useful resource is Helping People who Use Substances: A health promotion perspective. 
 To help you think about your relationship with substance, You and Substance Use: Stuff to think about...and ways to make changes is a great workbook. Another series, Making Healthier Choices about Substance Use: Tips for cutting back or quitting, has a lot of useful tips and resources if you want to change the way you use alcohol, marijuana, medications, methamphetamine, and tobacco. 
 If you or someone you care about needs more help, contact the Alcohol and Drug Information Referral Service to find support in your area. To get help anywhere in BC, call 1-800-663-1441. In Greater Vancouver, call 604-660-9382. 
 To learn more about substance use, visit the Centre for Addictions Research of BC.",substance use problem go help,person different relationship substances like alcohol drugs people use substances different reasons ’ beneficial may cause problems others person different situations learn substance use check understanding substance use health promotion perspective supporting someone else useful resource helping people use substances health promotion perspective help think relationship substance substance use stuff think ... ways make changes great workbook another series making healthier choices substance use tips cutting back quitting lot useful tips resources want change way use alcohol marijuana medications methamphetamine tobacco someone care needs help contact alcohol drug information referral service find support area get help anywhere bc call 1-800-663-1441. greater vancouver call 604-660-9382. learn substance use visit centre addictions research bc,neutral
6779222,Where can I find free or low-cost counselling?,"Mental health services like counselling or therapy may be covered by your BC Medical Services Plan (MSP) when you access the service through a hospital or mental health clinic. Find your local health authority to learn more about counselling services in your area. HealthLink BC’s Find Services tool and Locator app can also help you find services. You often need a doctor’s referral to access these types of programs. 
 Without a doctor’s referral, you need to access care through the private system, which is not funded by the government. Private mental health services can be expensive. This can be a real barrier to finding good care. While there is no simple answer, there are several different places you can look: 
 If you have health benefits at work, ask about your coverage. Some plans will cover a certain number of private counselling or therapy sessions. In addition, a workplace Employee/Family Assistance Plan may offer some services or may refer you to community services. 
 Some psychologists, clinical counsellors, or other service providers may offer a sliding scale, which means that their costs are based on your income. Try contacting service providers directly to ask if they offer a sliding scale. One private clinic in Vancouver has a good list of lower-cost counselling options in the Vancouver area. For those outside of the Lower Mainland, you can still look at this list and see if any similar organizations might be in your community. 
 Contact a mental health organization like Anxiety Canada, the Canadian Mental Health Association, BC Schizophrenia Society, Institute of Families for Child and Youth Mental Health, Mood Disorders Association of BC, or Jessie’s Legacy. They may offer services in your area, or they may have local connections that they can refer you to. 
 You can also email us and we’ll try and give you some recommendations for your community.",find free low-cost counselling,mental health services like counselling therapy may covered bc medical services plan msp access service hospital mental health clinic find local health authority learn counselling services area healthlink bc ’ find services tool locator app also help find services often need doctor ’ referral access types programs without doctor ’ referral need access care private system funded government private mental health services expensive real barrier finding good care simple answer several different places look health benefits work ask coverage plans cover certain number private counselling therapy sessions addition workplace employee/family assistance plan may offer services may refer community services psychologists clinical counsellors service providers may offer sliding scale means costs based income try contacting service providers directly ask offer sliding scale one private clinic vancouver good list lower-cost counselling options vancouver area outside lower mainland still look list see similar organizations might community contact mental health organization like anxiety canada canadian mental health association bc schizophrenia society institute families child youth mental health mood disorders association bc jessie ’ legacy may offer services area may local connections refer also email us ’ try give recommendations community,positive
1546812,Can I get help paying for prescription medications?,"BC PharmaCare covers the cost of some medications through Plan G, the Psychiatric Medications Plan, for people who need a medication to be well but cannot afford them. Your doctor or nurse practitioner must apply for your coverage on your behalf. Coverage usually lasts for one year, and then you can reapply if needed. Talk to your care team if you’re interested in Plan G.",get help paying prescription medications,bc pharmacare covers cost medications plan g psychiatric medications plan people need medication well afford doctor nurse practitioner must apply coverage behalf coverage usually lasts one year reapply needed talk care team ’ interested plan g,positive
2176317,How can I pay for mental health care?,"Mental health services provided through the government-run (‘public’) system, like services you receive through your local mental health centre or team, an outpatient psychiatry at a hospital are most often completely covered by MSP. As long as you are eligible for MSP, you won’t have to pay to see someone. 
 For mental health services that aren’t covered by MSP, such as psychotherapy or counselling with a private practitioner, you will have to cover the costs yourself. It’s no secret that these services can be expensive, but you may be able to offset the costs through: 
 Extended health coverage from your own or an immediate family member’s workplace benefits 
 Employee (Family) Assistance Program from your own or an immediate family member’s workplace benefits 
 For students, school or campus mental health services 
 For Indigenous community members, services offered through your Band, Friendship Centre, Indigenous support organization, or the First Nations Health Authority 
 Cultural or faith communities may offer some mental health services 
 You may be able to claim some larger costs related to treatment of a mental health condition on your income tax return under health expenses 
 Some providers offer lower-cost services or a sliding scale, usually based on your income. Email us with your location and our information and referrals team can help you look for options in your area. 
 If costs are a barrier to health care, talk to your doctor to see if there are any services in the public health system (covered by MSP) that may be a good fit for you. You can also called the Mental Health Support Line at 310-6789 (no area code) for more information on local mental health services.",pay mental health care,mental health services provided government-run ‘ public ’ system like services receive local mental health centre team outpatient psychiatry hospital often completely covered msp long eligible msp ’ pay see someone mental health services ’ covered msp psychotherapy counselling private practitioner cover costs ’ secret services expensive may able offset costs extended health coverage immediate family member ’ workplace benefits employee family assistance program immediate family member ’ workplace benefits students school campus mental health services indigenous community members services offered band friendship centre indigenous support organization first nations health authority cultural faith communities may offer mental health services may able claim larger costs related treatment mental health condition income tax return health expenses providers offer lower-cost services sliding scale usually based income email us location information referrals team help look options area costs barrier health care talk doctor see services public health system covered msp may good fit also called mental health support line 310-6789 area code information local mental health services,positive
3284724,How do I apply for income assistance?,"Provincial income assistance has three income levels: basic assistance (also called welfare), Persons with Disabilities benefits (PWD), and the Persons with Persistent and Multiple Barriers to employment benefits (PPMB). All are administered by the Ministry of Social Development and Social Inclusion. Depending on the situation, mental illness may considered under PWD or PPMB. Addictions may not be included in PPMB applications. 
 PWD benefits are for people who have a disability that prevents them from working or going about their daily activities. Find information from the Ministry and read a fact sheet from the Disability Alliance of BC with information about the application process. 
 PPMB benefits are for people who experience multiple barriers to work. Find information from the Ministry and read a fact sheet from the Disability Alliance of BC with information about the application process. 
 The Disability Alliance of BC (formerly the BC Coalition of People with Disabilities) and help you navigate PWD and PPMB programs as well as Canada Pension Plan benefits. They have in-depth information on preparing your application, working through the application process, and handling appeals. PovNet can also connect you with an advocate to help you through the application process. 
 For more on provincial PWD benefits and advocacy tips, see Getting By on Social Assistance: Navigating the ‘welfare’ system or read other articles in our Income issue of Visions Journal.",apply income assistance,provincial income assistance three income levels basic assistance also called welfare persons disabilities benefits pwd persons persistent multiple barriers employment benefits ppmb administered ministry social development social inclusion depending situation mental illness may considered pwd ppmb addictions may included ppmb applications pwd benefits people disability prevents working going daily activities find information ministry read fact sheet disability alliance bc information application process ppmb benefits people experience multiple barriers work find information ministry read fact sheet disability alliance bc information application process disability alliance bc formerly bc coalition people disabilities help navigate pwd ppmb programs well canada pension plan benefits in-depth information preparing application working application process handling appeals povnet also connect advocate help application process provincial pwd benefits advocacy tips see getting social assistance navigating ‘ welfare ’ system read articles income issue visions journal,neutral
5981663,What is MSP?,"MSP stands for Medical Services Plan. It's  a health insurance program managed by the government for people who live in British Columbia, Canada. MSP pays for things like doctor’s appointments, appointments with specialist doctors like psychiatrists, and hospital stays you need to treat a medical problem. 
 Everyone who lives in BC must enroll in MSP. You pay a monthly fee based on your income. Some workplaces cover the costs of MSP fees for you. 
 Learn more about MSP here. If you have questions about applying for or managing your MSP coverage, call Health Insurance BC at 604 683-7151 in the Lower Mainland or 1-800-663-7100 in the rest of BC. They are open Monday – Friday from 8.00am – 4.30pm. You can also get help in person at your local Service BC office. 
 If you are new to BC, you have to wait three months before registering for MSP. 
 Bring your Care Card or BC Services Card with you when you go to medical appointments or use the pharmacy.",msp,msp stands medical services plan 's health insurance program managed government people live british columbia canada msp pays things like doctor ’ appointments appointments specialist doctors like psychiatrists hospital stays need treat medical problem everyone lives bc must enroll msp pay monthly fee based income workplaces cover costs msp fees learn msp questions applying managing msp coverage call health insurance bc 604 683-7151 lower mainland 1-800-663-7100 rest bc open monday – friday 8.00am – 4.30pm also get help person local service bc office new bc wait three months registering msp bring care card bc services card go medical appointments use pharmacy,neutral
6623577,What is a referral?,"A referral means someone recommends you to another service. In health care, it usually means a request from your doctor to see a specialist like a psychiatrist. 
 To access any specialist in BC, you first need a referral. You may need to meet certain criteria, like a specific diagnosis or specific symptoms, to access some specialists. Your doctor can tell you what to expect. 
 Once your doctor has made the referral, the specialist’s office will contact you with an appointment time. Make sure your doctor’s office has your current contact information so the specialist can reach you. 
 The process is the same whether you see the same family doctor or visit a walk-in clinic. 
 Not all mental health programs in BC require a doctor’s referral. This is good news for people who are looking for help! A ""self-referral"" means that you ask to see someone, and then you will be evaluated to see if you meet the criteria to receive services. Contact your local health authority to learn more about programs in your area:",referral,referral means someone recommends another service health care usually means request doctor see specialist like psychiatrist access specialist bc first need referral may need meet certain criteria like specific diagnosis specific symptoms access specialists doctor tell expect doctor made referral specialist ’ office contact appointment time make sure doctor ’ office current contact information specialist reach process whether see family doctor visit walk-in clinic mental health programs bc require doctor ’ referral good news people looking help `` self-referral '' means ask see someone evaluated see meet criteria receive services contact local health authority learn programs area,neutral
6851366,What's the difference between a psychiatrist and a registered psychologist?,"A psychiatrist is a medical doctor with extra training in mental health who can choose to prescribe medications. Some use psychotherapy (‘talk therapies’) approaches like cognitive-behavioural therapy to treat mental health problems. Many psychiatrists work at hospitals, clinics, or health centres, and some have a private office. As they are specialist doctors, you will almost always need another doctor’s referral to see a psychiatrist, and fees are covered by MSP. If you have a valid BC Services or CareCard, you do not need to pay to see a psychiatrist. 
 A registered psychologist focuses on different talk therapy or counselling approaches to treatments, but they don’t prescribe medication. They have graduate degrees in psychology. There are two different ways to access registered psychologists: the public system and the private system. Registered psychologists in the public system work in some hospitals or schools. You may need a doctor’s referral to access the program, and costs are usually covered by MSP. However, most people need to access registered psychologists through the private system. To do this, you can contact the psychologist yourself—you do not need a referral. Costs are not covered by MSP, but they may be covered by employee health plans. A registered psychologist’s fees charged by hour vary, and some offer lower fees to people with lower incomes. 
 You’ve probably noticed that a lot of the differences come down to how you pay for different services and how these professionals are educated. The practical differences in how they work are not always so clear. When it comes to your treatment and care, the most important part is finding a professional who supports your own goals. Are you really focused on fine-tuning medications? Are you looking for a particular therapy approach? Does the professional’s philosophy of care make sense to you? Do you like the professional you’re talking to and do you feel safe sharing your experiences? Ultimately, your relationship with the professional is what matters. Instead of focusing on designation, look for a professional who meets your needs and your expectations. 
 Talk to your family doctor and ask for their recommendations 
 Ask local mental health organizations for help. You can find local branches through the provincial organizations behind HeretoHelp 
 Ask a community health centre, outpatient psychiatry program, or mental health team for suggestions 
 For a list of psychiatrists near you, search under ‘Specialist’ in the College of Physicians and Surgeons of British Columbia’s Find a Physician Tool but remember that you will first need a referral from a doctor (like your family doctor) 
 For a list of psychologists near you, search in the British Columbia Psychological Association’s Find a Registered Psychologist tool and you can also learn more about finding a psychologist from the College of Psychologists of British Columbia",'s difference psychiatrist registered psychologist,psychiatrist medical doctor extra training mental health choose prescribe medications use psychotherapy ‘ talk therapies ’ approaches like cognitive-behavioural therapy treat mental health problems many psychiatrists work hospitals clinics health centres private office specialist doctors almost always need another doctor ’ referral see psychiatrist fees covered msp valid bc services carecard need pay see psychiatrist registered psychologist focuses different talk therapy counselling approaches treatments ’ prescribe medication graduate degrees psychology two different ways access registered psychologists public system private system registered psychologists public system work hospitals schools may need doctor ’ referral access program costs usually covered msp however people need access registered psychologists private system contact psychologist yourself—you need referral costs covered msp may covered employee health plans registered psychologist ’ fees charged hour vary offer lower fees people lower incomes ’ probably noticed lot differences come pay different services professionals educated practical differences work always clear comes treatment care important part finding professional supports goals really focused fine-tuning medications looking particular therapy approach professional ’ philosophy care make sense like professional ’ talking feel safe sharing experiences ultimately relationship professional matters instead focusing designation look professional meets needs expectations talk family doctor ask recommendations ask local mental health organizations help find local branches provincial organizations behind heretohelp ask community health centre outpatient psychiatry program mental health team suggestions list psychiatrists near search ‘ specialist ’ college physicians surgeons british columbia ’ find physician tool remember first need referral doctor like family doctor list psychologists near search british columbia psychological association ’ find registered psychologist tool also learn finding psychologist college psychologists british columbia,neutral
